Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
PGE;Energetyka;12,9;BBB-                     ;5,79;41,6138316158938;+11%;21,62;21,13;6,98;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;17,69;Wycena niemozliwa;7,94;Wycena niemozliwa;14,04;14,30;2014-01-01 - 2014-12-31;5,05%
PGNIG;Paliwowy;4,75;AA+                      ;7,8;29,1733625762712;-27%;5,21;5,02;1,74;3,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,88;6,18;2,56;8,42;3,42;3,48;2014-01-01 - 2014-12-31;2,92%
PGODLEW;Metalowy;5,7;AA-                      ;7,05;15,8563676012461;-43%;2,59;2,41;0,85;4;4,11;3,3;3,53;3,08;3,55;2,17;4,13;1,95;3,25; - ;brak
PKNORLEN;Paliwowy;64,38;AA-                      ;7,21;55,4112331513126;+27%;56,68;53,65;11,77;75,6;75,97;66,14;69,29;53,08;111,96;85,54;136,98;99,05;81,82;2014-01-01 - 2014-12-31;2,37%
POLWAX;Chemiczny;16,9;AA+                      ;8,06;37,9298359526796;+18%;7,58;7,53;2,74;16,89;14,25;12,24;13,79;14,68;31,31;24,98;35,2;27,21;19,90;2014-01-01 - 2014-12-31;6,44%
PROCHEM;Budownictwo;15,57;AA+                      ;8,05;35,2370731707317;+48%;32,6;32,47;13,62;14,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;38,69;15,37;34,39;21,44;54,8;23,11;2014-01-01 - 2014-12-31;1,63%
PROTEKTOR;Lekki;2,99;AAA                      ;12,63;45,4571487151449;+52%;3,3;3,04;1,83;3,5;3,78;3,4;3,43;5,7;6,09;4,32;7,59;4,62;4,54;2014-01-01 - 2014-12-31;8,45%
PSG;Telekomunikacja;0,48;A+                       ;6,91;45,0593846135744;+211%;2,19;1,48;0,8;1,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,3;1,79;6,17;2,28;7,54;1,50; - ;brak
QUERCUS;Rynek kapitałowy;6,15;AAA                      ;15,27;42,4274280116065;-37%;0,76;0,76;0,61;4,8;1,25;2,78;3,45;2,18;6,48;6,18;5,68;9,37;3,90;2012-01-01 - 2012-12-31;3,89%
QUMAK;Informatyka;9,39;BB                       ;5,03;60,5854488668138;+31%;7,53;7,48;-0,3;7,9;12,51;7,72;7,78;27,95;10,27;204,2;16,36;240,31;12,32;2013-01-01 - 2013-12-31;6,94%
RAINBOW;Hotele i restauracje;20,5;AA-                      ;7,22;32,9890805387576;+70%;6,93;5,57;2,88;23,6;15,46;15,26;18,04;40,32;37,37;112,09;50,32;147,32;34,93;2014-01-01 - 2014-12-31;3,20%
RELPOL;Elektromasz.;7,75;AAA                      ;9,96;35,6625889395707;+29%;7,68;6,77;3,93;8,1;10,32;7,89;7,96;11,55;11,12;10,34;13,93;13,55;9,98;2014-01-01 - 2014-12-31;5,87%
REMAK;Elektromasz.;16,4;CCC                      ;3,14;14,7058333333333;+26%;2,47;2,4;-6,23;15,7;16,82;9,08;11,29;3,71;27,63;35,09;39,6;51,11;20,73;2009-01-01 - 2009-12-31;4,35%
RONSON;Deweloperzy;1,41;AAA                      ;9,96;13,0935621970921;-12%;1,69;1,69;0,8;0,7;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,18;1,27;3,47;0,97;4,25;1,24;2014-01-01 - 2014-12-31;3,15%
ROPCZYCE;Mat. budowlanych;21,8;BBB-                     ;5,8;48,7490175814919;+41%;49,06;47,77;12,48;28,54;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;45,94;44,34;26,74;47,83;21,24;30,77;2014-01-01 - 2014-12-31;3,71%
SANWIL;Lekki;0,7;BB                       ;5,19;73,0529189051674;> +250%;4,78;4,72;1,96;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,25;Wycena niemozliwa;6,03;Wycena niemozliwa;7,18;3,37; - ;brak
SCOPAK;Drzewny;2,39;CCC                      ;3,11;59,0791974656811;+13%;3;2,99;-2,97;0,17;2,38;Wycena niemozliwa;Wycena niemozliwa;3,87;11,54;9,13;0,49;Wycena niemozliwa;2,69; - ;brak
SECOGROUP;Elektromasz.;13,5;BB-                      ;4,77;22,5524491729881;-12%;20,42;11,67;3,23;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;30,73;Wycena niemozliwa;39,4;Wycena niemozliwa;51,3;11,82;2013-01-01 - 2013-12-31;2,95%
SFINKS;Hotele i restauracje;4,29;D                        ;1,42;59,1327089203718;-36%;0,12;-0,49;-1,46;2,39;Wycena niemozliwa;1,25;1,63;0,69;4,19;7,89;2,48;7,43;2,74; - ;brak
SILVANO;Handel detaliczny;6,6;AAA                      ;16,27;57,8947368421053;+83%;5,11;4,93;3,62;12,21;8,22;8,73;9,89;10,73;21,54;4,32;28,82;10,58;12,10;2014-01-01 - 2014-12-31;7,04%
SMT;Media;13,79;AAA                      ;9,63;61,7971414281644;+59%;8,6;7,91;5,97;44,9;Wycena niemozliwa;26,75;32,8;10,73;9,76;20,07;17,03;31,33;21,92; - ;brak
